"Timestamp","Name","Type","Rarity","Wish","Pity","Whale_id"
"2020-09-29 12:03:47","Black Tassel","Weapon","3","1",1,1
"2020-09-29 12:03:47","Emerald Orb","Weapon","3","2",2,1
"2020-09-29 12:03:47","Emerald Orb","Weapon","3","3",3,1
"2020-09-29 12:03:47","Skyrider Sword","Weapon","3","4",4,1
"2020-09-29 12:03:47","Debate Club","Weapon","3","5",5,1
"2020-09-29 12:03:47","Harbinger of Dawn","Weapon","3","6",6,1
"2020-09-29 12:03:47","Sharpshooter's Oath","Weapon","3","7",7,1
"2020-09-29 12:03:47","Ferrous Shadow","Weapon","3","8",8,1
"2020-09-29 12:03:47","Cool Steel","Weapon","3","9",9,1
"2020-09-29 12:03:47","Lion's Roar","Weapon","4","10",10,1
"2020-10-01 12:12:26","Cool Steel","Weapon","3","11",11,1
"2020-10-01 12:12:26","Cool Steel","Weapon","3","12",12,1
"2020-10-01 12:12:26","Bloodtainted Greatsword","Weapon","3","13",13,1
"2020-10-01 12:12:26","Black Tassel","Weapon","3","14",14,1
"2020-10-01 12:12:26","Black Tassel","Weapon","3","15",15,1
"2020-10-01 12:12:26","Harbinger of Dawn","Weapon","3","16",16,1
"2020-10-01 12:12:26","Ferrous Shadow","Weapon","3","17",17,1
"2020-10-01 12:12:26","Bennett","Character","4","18",18,1
"2020-10-01 12:12:26","Bloodtainted Greatsword","Weapon","3","19",19,1
"2020-10-01 12:12:26","Skyrider Sword","Weapon","3","20",20,1
"2020-10-01 23:04:32","Emerald Orb","Weapon","3","21",21,1
"2020-10-01 23:04:45","Black Tassel","Weapon","3","22",22,1
"2020-10-01 23:04:59","Debate Club","Weapon","3","23",23,1
"2020-10-01 23:05:10","Black Tassel","Weapon","3","24",24,1
"2020-10-01 23:05:23","Cool Steel","Weapon","3","25",25,1
"2020-10-01 23:05:32","Thrilling Tales of Dragon Slayers","Weapon","3","26",26,1
"2020-10-01 23:05:47","Harbinger of Dawn","Weapon","3","27",27,1
"2020-10-01 23:06:00","Favonius Sword","Weapon","4","28",28,1
"2020-10-01 23:06:24","Slingshot","Weapon","3","29",29,1
"2020-10-01 23:07:06","Skyrider Sword","Weapon","3","30",30,1
"2020-10-01 23:07:24","Thrilling Tales of Dragon Slayers","Weapon","3","31",31,1
"2020-10-01 23:08:04","Skyrider Sword","Weapon","3","32",32,1
"2020-10-01 23:08:18","Sharpshooter's Oath","Weapon","3","33",33,1
